rating,isbn,author_url,year,genre_urls,name,author
5.0,0983002215,https://www.goodreads.com/author/show/6589034.Rebekah_McClew,2011.0,,Family Secrets,Rebekah McClew
5.0,1300589469,https://www.goodreads.com/author/show/6906561.I_M_Nobody,2012.0,,A Book About Absolutely Nothing.,I M Nobody
5.0,0983002282,https://www.goodreads.com/author/show/6589034.Rebekah_McClew,2012.0,,Obscured Darkness (Family Secrets #2),Rebekah McClew
5.0,-1,https://www.goodreads.com/author/show/6896621.Ronda_Paige,2012.0,,Patience's Love,Ronda Paige
5.0,-1,https://www.goodreads.com/author/show/5989528.Subhajit_Ganguly,2012.0,,Abstraction In Theory - Laws Of Physical Transaction,Subhajit Ganguly
5.0,-1,https://www.goodreads.com/author/show/6467808.Othen_Donald_Dale_Cummings,2014.0,/genres/poetry|/genres/childrens,An Elephant Is On My House,Othen Donald Dale Cummings
5.0,-1,https://www.goodreads.com/author/show/7738947.Sarah_Robinson,2014.0,/genres/romance|/genres/new-adult,"Untainted (Photographer Trilogy, #3)",Sarah Robinson
4.94,-1,https://www.goodreads.com/author/show/8127793.A_J_Salt,2014.0,,Nik Nassa & the Mark of Destiny,A J Salt
4.93,1453634819,https://www.goodreads.com/author/show/4808225.Dennis_Sharpe,2010.0,,The Years Distilled,Dennis Sharpe
4.93,9789898541,https://www.goodreads.com/author/show/7458878.Gra_a_Jacinto,2012.0,,LaÃ§os fortes e decisÃµes difÃ­ceis,Gra a Jacinto
4.93,1781843457,https://www.goodreads.com/author/show/5014793.Chris_Lange,2013.0,/genres/fantasy|/genres/romance|/genres/suspense|/genres/adventure|/genres/romance|/genres/fantasy-romance,Blade Heart,Chris Lange
4.92,147930414X,https://www.goodreads.com/author/show/6467808.Othen_Donald_Dale_Cummings,2012.0,,Happy Halloween,Othen Donald Dale Cummings
4.92,-1,https://www.goodreads.com/author/show/5227478.Alecia_Stone,2014.0,/genres/young-adult,Blackout (Talisman of El #2),Alecia Stone
4.88,-1,https://www.goodreads.com/author/show/8433703.Ahmad_Baari,2014.0,,My Two Cents,Ahmad Baari
4.86,1477504540,https://www.goodreads.com/author/show/5989528.Subhajit_Ganguly,2013.0,,Call Of The Lost Ages,Subhajit Ganguly
4.85,1491732954,https://www.goodreads.com/author/show/8189303.Omar_Farhad,2014.0,/genres/fiction,Honor and Polygamy,Omar Farhad
4.85,-1,https://www.goodreads.com/author/show/8472193.Tyler_Chase,2014.0,/genres/romance,Van Laven Chronicles,Tyler Chase
4.84,-1,https://www.goodreads.com/author/show/7043626.Ian_Hutson,2013.0,/genres/science-fiction|/genres/short-stories|/genres/humor|/genres/european-literature|/genres/british-literature|/genres/humor|/genres/funny|/genres/humor|/genres/comedy,NGLND XPX,Ian Hutson
4.83,-1,https://www.goodreads.com/author/show/7172051.Stevie_Turner,2014.0,/genres/suspense|/genres/european-literature|/genres/british-literature|/genres/thriller|/genres/mystery-thriller|/genres/thriller|/genres/mystery|/genres/drama|/genres/sociology|/genres/abuse,A House Without Windows,Stevie Turner
4.83,1495416739,https://www.goodreads.com/author/show/7399883.Maria_Johnsen,2014.0,,This Land of Streams,Maria Johnsen
4.83,-1,https://www.goodreads.com/author/show/7058502.O_L_Ramos,2014.0,,"The Keeper (The Keeper, #5)",O L Ramos
4.8,0740748475,https://www.goodreads.com/author/show/13778.Bill_Watterson,2005.0,/genres/sequential-art|/genres/comics|/genres/humor|/genres/sequential-art|/genres/graphic-novels|/genres/fiction|/genres/classics|/genres/humor|/genres/comedy|/genres/graphic-novels-comics|/genres/comics|/genres/comic-book|/genres/sequential-art|/genres/comic-strips|/genres/childrens,The Complete Calvin and Hobbes,Bill Watterson
4.8,1475124511,https://www.goodreads.com/author/show/5461236.Joe_Connolly,2012.0,/genres/non-fiction|/genres/animals,If I Should Die Before My Dog --,Joe Connolly
4.8,1933455098,https://www.goodreads.com/author/show/5834131.Muna_Imady,2012.0,,Syrian Folktales,Muna Imady
4.8,1469908530,https://www.goodreads.com/author/show/4695431.Joe_Egly,2012.0,/genres/fantasy,"Myrtle Mae and the Mirror in the Attic (The Mae Chronicles, #1)",Joe Egly
4.8,-1,https://www.goodreads.com/author/show/7777382.Jim_Goforth,2014.0,/genres/horror,Plebs,Jim Goforth
4.79,-1,https://www.goodreads.com/author/show/6585024.Ashley_Chappell,2013.0,,Tilt (Dreams of Chaos #2),Ashley Chappell
4.78,2851944371,https://www.goodreads.com/author/show/318835.Odysseus_Elytis,1972.0,/genres/poetry|/genres/fiction|/genres/nobel-prize|/genres/classics,Le Monogramme,Odysseus Elytis
4.77,0988270714,https://www.goodreads.com/author/show/5819163.Cindy_Springsteen,2012.0,/genres/childrens,Waffles and Pancakes,Cindy Springsteen
4.77,-1,https://www.goodreads.com/author/show/7223069.Deepak_Chaswal,2013.0,/genres/poetry,Meeting With Christ and Other Poems,Deepak Chaswal
4.76,1433502410,https://www.goodreads.com/author/show/5158478.Anonymous,2007.0,/genres/religion|/genres/non-fiction|/genres/history|/genres/classics|/genres/christian|/genres/poetry|/genres/philosophy|/genres/parenting|/genres/religion|/genres/faith|/genres/religion|/genres/church,ESV Study Bible,Anonymous
4.76,-1,https://www.goodreads.com/author/show/7381751.Karen_Brueggeman,2013.0,/genres/fantasy|/genres/childrens|/genres/picture-books|/genres/childrens|/genres/education|/genres/fantasy|/genres/magic|/genres/family|/genres/adventure,Fruzzle's Mystery Talent,Karen Brueggeman
4.76,0765326361,https://www.goodreads.com/author/show/38550.Brandon_Sanderson,2014.0,/genres/fantasy|/genres/fantasy|/genres/epic-fantasy|/genres/fiction|/genres/fantasy|/genres/high-fantasy|/genres/epic|/genres/science-fiction-fantasy|/genres/fantasy|/genres/magic|/genres/adventure|/genres/adult|/genres/science-fiction,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson
4.75,0842339523,https://www.goodreads.com/author/show/6492.Francine_Rivers,1993.0,/genres/christian-fiction|/genres/historical-fiction|/genres/christian|/genres/fiction|/genres/romance|/genres/religion|/genres/christianity|/genres/inspirational|/genres/christian-fiction|/genres/christian-historical-fiction|/genres/religion|/genres/religion|/genres/faith,Mark of the Lion Trilogy,Francine Rivers
4.75,0836221362,https://www.goodreads.com/author/show/13778.Bill_Watterson,1996.0,/genres/sequential-art|/genres/comics|/genres/humor|/genres/sequential-art|/genres/graphic-novels|/genres/fiction|/genres/comics|/genres/comic-book|/genres/humor|/genres/comedy|/genres/sequential-art|/genres/comic-strips|/genres/graphic-novels-comics|/genres/childrens|/genres/humor|/genres/funny,Calvin and Hobbes,Bill Watterson
4.75,1401210856,https://www.goodreads.com/author/show/1221698.Neil_Gaiman,2008.0,/genres/sequential-art|/genres/graphic-novels|/genres/sequential-art|/genres/comics|/genres/fantasy|/genres/fiction|/genres/graphic-novels-comics|/genres/horror|/genres/comics|/genres/comic-book|/genres/fantasy|/genres/mythology|/genres/fantasy|/genres/urban-fantasy|/genres/science-fiction-fantasy,"The Absolute Sandman, Vol. 4",Neil Gaiman
4.75,1481959824,https://www.goodreads.com/author/show/5100743.Alexei_Maxim_Russell,2013.0,,Why Not-World,Alexei Maxim Russell
4.74,-1,https://www.goodreads.com/author/show/6521036.J_K_Accinni,2013.0,/genres/science-fiction|/genres/aliens|/genres/science-fiction|/genres/young-adult,"The One (Species Intervention #6609, #6)",J K Accinni
4.73,0545044251,https://www.goodreads.com/author/show/1077326.J_K_Rowling,1998.0,/genres/fantasy|/genres/young-adult|/genres/fiction|/genres/childrens|/genres/adventure|/genres/classics|/genres/science-fiction-fantasy|/genres/fantasy|/genres/paranormal|/genres/paranormal|/genres/witches|/genres/novels,"Harry Potter Boxset (Harry Potter, #1-7)",J K Rowling
4.73,0983002274,https://www.goodreads.com/author/show/6589034.Rebekah_McClew,2012.0,,Mortal,Rebekah McClew
4.73,1938021231,https://www.goodreads.com/author/show/4111693.Lisa_Cherry,2014.0,/genres/religion|/genres/christianity,Not Open,Lisa Cherry
4.72,1401210848,https://www.goodreads.com/author/show/1221698.Neil_Gaiman,2008.0,/genres/sequential-art|/genres/comics|/genres/sequential-art|/genres/graphic-novels|/genres/fantasy|/genres/fiction|/genres/horror|/genres/graphic-novels-comics|/genres/comics|/genres/comic-book|/genres/fantasy|/genres/urban-fantasy|/genres/fantasy|/genres/mythology|/genres/anthologies|/genres/collections,"The Absolute Sandman, Vol. 3",Neil Gaiman
4.72,178048044X,https://www.goodreads.com/author/show/20248.J_R_Ward,2010.0,/genres/romance|/genres/paranormal|/genres/vampires|/genres/fantasy|/genres/paranormal|/genres/fantasy|/genres/romance|/genres/paranormal-romance|/genres/love|/genres/horror,J. R. Ward Collection,J R Ward
4.71,-1,https://www.goodreads.com/author/show/63244.Kalki,1950.0,/genres/historical-fiction|/genres/fiction|/genres/classics|/genres/novels|/genres/asian-literature|/genres/indian-literature|/genres/literature|/genres/drama,à®ªà¯à®©à¯à®©à®¿à®¯à®¿à®©à¯ à®à¯à®²à¯à®µà®©à¯ [Ponniyin Selvan],Kalki
4.71,0679777482,https://www.goodreads.com/author/show/8361.Dorothy_Dunnett,1975.0,/genres/historical-fiction|/genres/fiction|/genres/cultural|/genres/scotland|/genres/cultural|/genres/france|/genres/romance|/genres/historical-romance|/genres/adventure|/genres/romance|/genres/literature|/genres/16th-century|/genres/literature|/genres/european-literature|/genres/british-literature,"Checkmate (The Lymond Chronicles, #6)",Dorothy Dunnett
4.71,0751500283,https://www.goodreads.com/author/show/13778.Bill_Watterson,1992.0,/genres/sequential-art|/genres/comics|/genres/humor|/genres/sequential-art|/genres/graphic-novels|/genres/comics|/genres/comic-book|/genres/humor|/genres/comedy|/genres/childrens|/genres/graphic-novels-comics|/genres/sequential-art|/genres/comic-strips|/genres/sequential-art|/genres/cartoon|/genres/humor|/genres/funny,The Indispensable Calvin and Hobbes,Bill Watterson
4.71,0439827604,https://www.goodreads.com/author/show/1077326.J_K_Rowling,2005.0,/genres/fantasy|/genres/fiction|/genres/young-adult|/genres/fantasy|/genres/magic|/genres/childrens|/genres/adventure|/genres/classics|/genres/science-fiction-fantasy|/genres/love|/genres/paranormal|/genres/witches,"Harry Potter Hardcover Boxed Set, Books 1-6 (Harry Potter, #1-6)",J K Rowling
4.71,-1,https://www.goodreads.com/author/show/5895074.Ruth_Watson_Morris,2011.0,,"Fantacia (Voxian, #1)",Ruth Watson Morris
4.71,-1,https://www.goodreads.com/author/show/5838022.J_R_Ortiz,2012.0,,American Amaranth,J R Ortiz
4.71,-1,https://www.goodreads.com/author/show/6521036.J_K_Accinni,2013.0,/genres/horror|/genres/science-fiction|/genres/aliens|/genres/fantasy|/genres/science-fiction|/genres/fantasy|/genres/paranormal|/genres/science-fiction|/genres/dystopia,"Evil Among Us (Species Intervention #6609, #5)",J K Accinni
4.71,1484889681,https://www.goodreads.com/author/show/1107101.Joseph_Sweet,2013.0,/genres/horror|/genres/zombies,"Requiem for Humanity (Last Days, #1)",Joseph Sweet
4.7,0751507954,https://www.goodreads.com/author/show/13778.Bill_Watterson,1990.0,/genres/sequential-art|/genres/comics|/genres/humor|/genres/fiction|/genres/sequential-art|/genres/graphic-novels|/genres/comics|/genres/comic-book|/genres/humor|/genres/comedy|/genres/childrens|/genres/graphic-novels-comics|/genres/sequential-art|/genres/comic-strips,The Authoritative Calvin And Hobbes,Bill Watterson
4.7,1417642165,https://www.goodreads.com/author/show/13778.Bill_Watterson,1992.0,/genres/sequential-art|/genres/comics|/genres/humor|/genres/fiction|/genres/sequential-art|/genres/graphic-novels|/genres/comics|/genres/comic-book|/genres/sequential-art|/genres/comic-strips|/genres/humor|/genres/comedy|/genres/humor|/genres/funny|/genres/sequential-art|/genres/cartoon|/genres/graphic-novels-comics,Calvin and Hobbes,Bill Watterson
4.7,1481003925,https://www.goodreads.com/author/show/6522690.Tina_Traverse,2012.0,/genres/non-fiction,"Forever, Christian",Tina Traverse
4.7,-1,https://www.goodreads.com/author/show/7488658.Roberta_Pearce,2013.0,/genres/romance,A Bird Without Wings,Roberta Pearce
4.7,-1,https://www.goodreads.com/author/show/7363789.Eran_Gadot,2013.0,/genres/childrens,Supernatural Hero,Eran Gadot
4.7,-1,https://www.goodreads.com/author/show/7153266.Tali_Carmi,2014.0,/genres/childrens,Children's book,Tali Carmi
